data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.73077	0.42308	0.53846	0.5	0.29487	0.44872	0.44872	0.83333	0.71264	0.47436	0.5125	0.62821	0.33758	0.47778	0.17949	0.54762	0.38462	0.25641	0.52564	0.29487	0.4881	0.65385	0.15385	0.41026	0.23077	0.16667	0.41026	0.20513	0.20513	0.15385	0.43564	0.15385	0.15385	0.45882	0.48718	0.42169	0.48718	0.38462	0.17949	0.15385	0.20513	0.46739	0.20513	0.42857	0.69231	0.51852	0.56	0.12821	0.5	0.17949	0.46154	0.38462	0.24359	
D00066	0.73077	1.0	0.52381	0.73016	0.66216	0.28571	0.55556	0.46154	0.8806	0.67816	0.65625	0.475	0.46377	0.28662	0.55556	0.2381	0.5	0.43478	0.33333	0.70423	0.28571	0.4881	0.7619	0.20635	0.50794	0.2381	0.1746	0.58667	0.20635	0.2381	0.11111	0.48515	0.19048	0.1746	0.44706	0.67692	0.49398	0.67692	0.56	0.22222	0.22973	0.20635	0.45652	0.2381	0.38462	0.95455	0.59259	0.58	0.19178	0.72093	0.19048	0.55385	0.51429	0.26984	
D00067	0.42308	0.52381	1.0	0.7	0.59459	0.22	0.88889	0.38462	0.49254	0.3908	0.67188	0.4	0.4058	0.23567	0.38889	0.24	0.36905	0.72464	0.21154	0.49296	0.22	0.34524	0.53968	0.22	0.84483	0.2	0.28	0.42667	0.24	0.21053	0.19355	0.34653	0.26	0.28	0.36471	0.66154	0.42169	0.66154	0.58667	0.21053	0.2027	0.21569	0.3587	0.22	0.34066	0.5303	0.46914	0.37	0.20548	0.44186	0.2807	0.61538	0.68571	0.26	
D00075	0.53846	0.73016	0.7	1.0	0.75676	0.3	0.8	0.44872	0.62687	0.48276	0.875	0.4625	0.47826	0.30573	0.54444	0.2	0.4881	0.55072	0.23333	0.69014	0.3	0.41667	0.69841	0.21667	0.7	0.18333	0.18333	0.52	0.21667	0.15	0.09677	0.48515	0.18333	0.16667	0.45882	0.86154	0.51807	0.86154	0.77333	0.18333	0.18919	0.21667	0.3913	0.2	0.40659	0.72727	0.45679	0.5	0.13699	0.56977	0.16667	0.73846	0.74286	0.28333	
D00088	0.5	0.66216	0.59459	0.75676	1.0	0.33784	0.59459	0.5	0.55405	0.47126	0.7973	0.45	0.48649	0.33758	0.64444	0.2027	0.42857	0.44595	0.28378	0.62162	0.33784	0.42857	0.58108	0.18919	0.66216	0.2027	0.2027	0.53333	0.24324	0.2027	0.13514	0.51485	0.17568	0.18919	0.48235	0.78378	0.57831	0.78378	0.70667	0.24324	0.13514	0.24324	0.43478	0.2027	0.43956	0.64865	0.40741	0.53	0.09459	0.63953	0.2027	0.74324	0.51351	0.28378	
D00094	0.29487	0.28571	0.22	0.3	0.33784	1.0	0.22222	0.35897	0.26866	0.25287	0.29688	0.3625	0.36232	0.24841	0.3	0.25532	0.35714	0.23188	0.38462	0.29577	0.97872	0.30952	0.26984	0.25532	0.25862	0.25532	0.25532	0.29333	0.23404	0.2807	0.17742	0.28713	0.21277	0.29787	0.37647	0.29231	0.3012	0.29231	0.26667	0.24561	0.28378	0.2549	0.29348	0.2766	0.28571	0.27273	0.28395	0.29	0.20548	0.30233	0.19298	0.30769	0.27143	0.44681	
D00105	0.44872	0.55556	0.88889	0.8	0.59459	0.22222	1.0	0.41026	0.52239	0.41379	0.71875	0.375	0.37681	0.26115	0.41111	0.22222	0.42857	0.63768	0.16667	0.53521	0.22222	0.35714	0.57143	0.2037	0.89655	0.24074	0.27778	0.42667	0.24074	0.19298	0.19355	0.36634	0.24074	0.27778	0.4	0.70769	0.43373	0.70769	0.64	0.19298	0.2027	0.2037	0.36957	0.2037	0.34066	0.56061	0.40741	0.39	0.19178	0.44186	0.22807	0.66154	0.77143	0.24074	
D00129	0.44872	0.46154	0.38462	0.44872	0.5	0.35897	0.41026	1.0	0.42308	0.55172	0.47436	0.7125	0.75641	0.35669	0.41111	0.20513	0.71429	0.32051	0.34615	0.51282	0.35897	0.40476	0.48718	0.20513	0.44872	0.24359	0.20513	0.32051	0.24359	0.23077	0.17949	0.38614	0.15385	0.20513	0.84706	0.46154	0.43373	0.46154	0.41026	0.23077	0.21795	0.24359	0.40217	0.21795	0.40659	0.46154	0.41975	0.45	0.14103	0.4186	0.17949	0.5	0.37179	0.25641	
D00143	0.83333	0.8806	0.49254	0.62687	0.55405	0.26866	0.52239	0.42308	1.0	0.73563	0.55224	0.475	0.47826	0.31847	0.5	0.20896	0.5	0.4058	0.29851	0.59155	0.26866	0.5119	0.71642	0.1791	0.47761	0.20896	0.16418	0.48	0.19403	0.20896	0.10448	0.43564	0.16418	0.16418	0.44706	0.56716	0.45783	0.56716	0.45333	0.1791	0.21622	0.19403	0.47826	0.22388	0.35165	0.83582	0.64198	0.53	0.19178	0.62791	0.14925	0.47761	0.45714	0.25373	
D00163	0.71264	0.67816	0.3908	0.48276	0.47126	0.25287	0.41379	0.55172	0.73563	1.0	0.43678	0.42529	0.43678	0.3949	0.47778	0.18391	0.43678	0.4023	0.26437	0.55172	0.25287	0.42529	0.67816	0.17241	0.4023	0.2069	0.17241	0.43678	0.22989	0.2069	0.14943	0.43564	0.13793	0.17241	0.43678	0.43678	0.43678	0.43678	0.41379	0.1954	0.17241	0.21839	0.45652	0.21839	0.38462	0.65517	0.57471	0.54	0.1954	0.47126	0.18391	0.45977	0.4023	0.2069	
